Name,RA,DEC,Redshift,Magnitud(V),Beam_1,BPA,Speak,RMS,Beam_2,Q,PA,det,morph,log(Lcore),Upp_Lim_log(Lcore),log(Ltotal),logMBH,log[OIII],Upp_Lim_log[OIII],logEddRatio,Upp_Lim_logEddRatio,AType,Lp15GHz,Dist,St15GHz
NGC3608,11 16 58.95,+18 08 55.26,0.0041,10.63,,,,,,,,,,,,,,,,,,L2/S2:,19.989999771118164,23.399999618530273,1.5
NGC3623,11 18 55.96,+13 05 32.0,0.0027,9.32,,,,,,,,,,,,,,,,,,L2:,18.760000228881836,7.300000190734863,0.8999999761581421
NGC3627,11 20 15.03,+12 59 29.6,0.0024,10.31,,,,,,,,,,,,,,,,,,,,,
NGC3628,11 20 16.97,+13 35 22.86,0.0028,9.45,,,,,,,,,,,,,,,,,,,,,
NGC3642,11 22 17.89,+59 04 28.3,0.0053,12.19,0.15x0.12,15.0,0.78+-0.01,10.5,,,,U,-,,35.55,,7.42^{*},38.96,,-3.01,,L1.9,20.059999465942383,27.5,1.2999999523162842
NGC3718,11 32 34.85,+53 04 04.5,0.0033,10.69,,,,,,,,I,A,36.78,,36.78,7.72,37.41,,-4.86,,L1.9,20.559999465942383,17.0,10.800000190734863
NGC3884,11 46 12.18,+20 23 29.93,0.0233,12.59,,,,,,,,I,A,37.79,,37.8,8.20,40.2,,-2.55,,,,,
NGC3898,11 49 15.37,+56 05 03.7,0.0039,10.72,0.14x0.12,20.2,0.21+-0.01,9.0,,,,I,A,35.84,,36.11,8.19,38.52,,-4.03,,T2,19.760000228881836,21.899999618530273,1.0
NGC3945,11 53 13.73,+60 40 32.0,0.0043,10.75,,,,,,,,I,C,35.77,,35.86,6.94^{*},38.39,,-3.1,,L2,20.040000915527344,22.5,2.0999999046325684
NGC3998,11 57 56.12,+55 27 12.7,0.0035,11.31,,,,,,,,I,A,37.98,,37.98,8.93^{*},39.56,,-3.92,,L1.9,21.5,21.600000381469727,57.0
NGC4036,12 01 26.75,+61 53 44.8,0.0048,10.84,0.15x0.12,10.6,0.60+-0.01,11.6,,,,I,C,35.99,,36.94,7.89^{*},39.16,,-3.28,,L1.9,20.040000915527344,24.600000381469727,1.5
NGC410,01 10 58.904,+33 09 06.81,0.0177,11.48,0.18x0.13,-82.6,0.72+-0.01,11.1,0.52x0.32,+,-46.85,I,A,37.26,,37.53,8.84,,39.32,,-4.11,T2:,20.780000686645508,70.5999984741211,1.0
NGC4111,12 07 03.13,+43 03 55.4,0.0038,10.81,0.13x0.12,-31.4,0.19+-0.01,12.1,,,,I+unI,A,35.41,,35.83,7.60,38.65,,-3.5,,L2,19.639999389648438,17.0,1.2999999523162842
NGC4125,12 08 06.02,+65 10 26.9,0.006,9.71,,,,,,,,U,-,,35.36,,8.35,38.71,,-4.19,,T2,19.850000381469727,24.200000762939453,1.0
NGC4143,12 09 36.06,+42 32 03.0,0.0032,12.08,,,,,,,,I,B,36.13,,36.22,7.92^{*},38.81,,-3.66,,L1.9,20.059999465942383,17.0,3.299999952316284
